,per:title,org:top_members/employees,org:country_of_headquarters,per:parents,per:age,per:countries_of_residence,per:children,org:alternate_names,per:charges,per:cities_of_residence,per:origin,org:founded_by,per:employee_of,per:siblings,per:alternate_names,org:website,per:religion,per:stateorprovince_of_death,org:parents,org:subsidiaries,per:other_family,per:stateorprovinces_of_residence,org:members,per:cause_of_death,org:member_of,org:number_of_employees/members,per:country_of_birth,org:shareholders,org:stateorprovince_of_headquarters,per:city_of_death,per:date_of_birth,per:spouse,org:city_of_headquarters,per:date_of_death,per:schools_attended,org:political/religious_affiliation,per:country_of_death,org:founded,per:stateorprovince_of_birth,per:city_of_birth,org:dissolved
per:title,1.0,0.09482758620689655,0.034482758620689655,0.06,0.20930232558139536,0.06956521739130435,0.0,0.09090909090909091,0.024096385542168676,0.05343511450381679,0.11594202898550725,0.038461538461538464,0.11538461538461539,0.09090909090909091,0.1,0.2222222222222222,0.1282051282051282,0.0,0.08163265306122448,0.09375,0.1,0.030303030303030304,0.16,0.10256410256410256,0.2222222222222222,0.07692307692307693,0.2,0.0,0.08108108108108109,0.0,0.0,0.09090909090909091,0.12244897959183673,0.07317073170731707,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0
org:top_members/employees,0.07006369426751592,1.0,0.011494252873563218,0.1,0.046511627906976744,0.043478260869565216,0.19230769230769232,0.10909090909090909,0.024096385542168676,0.030534351145038167,0.043478260869565216,0.34615384615384615,0.04487179487179487,0.15151515151515152,0.1,0.2777777777777778,0.07692307692307693,0.0,0.08163265306122448,0.21875,0.15,0.030303030303030304,0.16,0.07692307692307693,0.1111111111111111,0.0,0.2,0.08333333333333333,0.05405405405405406,0.0,0.0,0.11363636363636363,0.061224489795918366,0.024390243902439025,0.05,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
org:country_of_headquarters,0.01910828025477707,0.008620689655172414,1.0,0.04,0.0,0.05217391304347826,0.07692307692307693,0.01818181818181818,0.0,0.04580152671755725,0.07246376811594203,0.07692307692307693,0.03205128205128205,0.15151515151515152,0.0,0.05555555555555555,0.0,0.0,0.061224489795918366,0.03125,0.05,0.06060606060606061,0.04,0.02564102564102564,0.16666666666666666,0.0,0.4,0.0,0.10810810810810811,0.0,0.0,0.06818181818181818,0.08163265306122448,0.0,0.05,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
per:parents,0.01910828025477707,0.04310344827586207,0.022988505747126436,1.0,0.0,0.017391304347826087,0.3076923076923077,0.03636363636363636,0.024096385542168676,0.015267175572519083,0.028985507246376812,0.0,0.01282051282051282,0.30303030303030304,0.0,0.05555555555555555,0.05128205128205128,0.0,0.02040816326530612,0.125,0.175,0.0,0.08,0.07692307692307693,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
per:age,0.05732484076433121,0.017241379310344827,0.0,0.0,1.0,0.02608695652173913,0.0,0.05454545454545454,0.0,0.007633587786259542,0.08695652173913043,0.0,0.019230769230769232,0.030303030303030304,0.1,0.1111111111111111,0.07692307692307693,0.0,0.02040816326530612,0.0,0.0,0.0,0.04,0.02564102564102564,0.0,0.07692307692307693,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.2857142857142857,0.0,0.05263157894736842,0.0,0.0,0.0
per:countries_of_residence,0.050955414012738856,0.04310344827586207,0.06896551724137931,0.04,0.06976744186046512,1.0,0.07692307692307693,0.07272727272727272,0.03614457831325301,0.09923664122137404,0.14492753623188406,0.0,0.07051282051282051,0.12121212121212122,0.0,0.05555555555555555,0.05128205128205128,0.0,0.04081632653061224,0.09375,0.025,0.12121212121212122,0.08,0.10256410256410256,0.05555555555555555,0.07692307692307693,0.6,0.0,0.16216216216216217,0.0,0.14285714285714285,0.045454545454545456,0.22448979591836735,0.04878048780487805,0.1,0.0,0.1111111111111111,0.15789473684210525,0.0,0.0,0.0
per:children,0.0,0.04310344827586207,0.022988505747126436,0.16,0.0,0.017391304347826087,1.0,0.03636363636363636,0.0,0.0,0.0,0.038461538461538464,0.0,0.09090909090909091,0.0,0.05555555555555555,0.02564102564102564,0.0,0.0,0.03125,0.075,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org:alternate_names,0.03184713375796178,0.05172413793103448,0.011494252873563218,0.04,0.06976744186046512,0.034782608695652174,0.07692307692307693,1.0,0.0,0.022900763358778626,0.043478260869565216,0.038461538461538464,0.03205128205128205,0.06060606060606061,0.1,0.16666666666666666,0.07692307692307693,0.0,0.061224489795918366,0.0625,0.05,0.030303030303030304,0.12,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.045454545454545456,0.04081632653061224,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
per:charges,0.012738853503184714,0.017241379310344827,0.0,0.04,0.0,0.02608695652173913,0.0,0.0,1.0,0.007633587786259542,0.014492753623188406,0.0,0.03205128205128205,0.06060606060606061,0.0,0.0,0.07692307692307693,0.0,0.04081632653061224,0.09375,0.025,0.015151515151515152,0.04,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.02040816326530612,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
per:cities_of_residence,0.044585987261146494,0.034482758620689655,0.06896551724137931,0.04,0.023255813953488372,0.11304347826086956,0.0,0.05454545454545454,0.012048192771084338,1.0,0.15942028985507245,0.0,0.038461538461538464,0.06060606060606061,0.0,0.05555555555555555,0.05128205128205128,0.21428571428571427,0.04081632653061224,0.03125,0.025,0.2727272727272727,0.04,0.07692307692307693,0.1111111111111111,0.0,0.6,0.0,0.10810810810810811,0.041666666666666664,0.2857142857142857,0.022727272727272728,0.24489795918367346,0.0975609756097561,0.2,0.0,0.1111111111111111,0.21052631578947367,0.16666666666666666,0.6666666666666666,0.0
