,per:title,org:top_members/employees,org:country_of_headquarters,per:parents,per:age,per:countries_of_residence,per:children,org:alternate_names,per:charges,per:cities_of_residence,per:origin,org:founded_by,per:employee_of,per:siblings,per:alternate_names,org:website,per:religion,per:stateorprovince_of_death,org:parents,org:subsidiaries,per:other_family,per:stateorprovinces_of_residence,org:members,per:cause_of_death,org:member_of,org:number_of_employees/members,per:country_of_birth,org:shareholders,org:stateorprovince_of_headquarters,per:city_of_death,per:date_of_birth,per:spouse,org:city_of_headquarters,per:date_of_death,per:schools_attended,org:political/religious_affiliation,per:country_of_death,org:founded,per:stateorprovince_of_birth,per:city_of_birth,org:dissolved
per:title,1.0,0.20461095100864554,0.3482142857142857,0.4819277108433735,0.3706896551724138,0.3910891089108911,0.3870967741935484,0.31216931216931215,0.46938775510204084,0.48299319727891155,0.4418604651162791,0.49206349206349204,0.3065326633165829,0.4166666666666667,0.5,0.19047619047619047,0.5609756097560976,0.5,0.35294117647058826,0.40397350993377484,0.425,0.45,0.3333333333333333,0.46875,0.39325842696629215,0.5111111111111111,0.7368421052631579,0.37254901960784315,0.37373737373737376,0.7435897435897436,0.15,0.42857142857142855,0.3684210526315789,0.20634920634920634,0.5409836065573771,0.3793103448275862,0.6666666666666666,0.09302325581395349,0.8235294117647058,0.7058823529411765,0.06666666666666667
org:top_members/employees,0.1834625322997416,1.0,0.26339285714285715,0.40963855421686746,0.1810344827586207,0.22772277227722773,0.29838709677419356,0.30687830687830686,0.24489795918367346,0.3129251700680272,0.24806201550387597,0.6031746031746031,0.1658291457286432,0.375,0.5,0.23809523809523808,0.4146341463414634,0.20833333333333334,0.3333333333333333,0.3576158940397351,0.39166666666666666,0.25,0.3958333333333333,0.265625,0.3707865168539326,0.2222222222222222,0.42105263157894735,0.49019607843137253,0.36363636363636365,0.358974358974359,0.2,0.45714285714285713,0.34210526315789475,0.12698412698412698,0.26229508196721313,0.29310344827586204,0.5,0.06976744186046512,0.35294117647058826,0.5882352941176471,0.2
org:country_of_headquarters,0.20155038759689922,0.17002881844380405,1.0,0.27710843373493976,0.22413793103448276,0.24257425742574257,0.20161290322580644,0.2698412698412698,0.2653061224489796,0.3333333333333333,0.32558139534883723,0.3492063492063492,0.1934673366834171,0.2604166666666667,0.391304347826087,0.1746031746031746,0.43902439024390244,0.4166666666666667,0.3006535947712418,0.2847682119205298,0.3333333333333333,0.2714285714285714,0.3020833333333333,0.328125,0.3146067415730337,0.4,0.631578947368421,0.2549019607843137,0.3939393939393939,0.5897435897435898,0.1,0.37142857142857144,0.3157894736842105,0.15873015873015872,0.3442622950819672,0.3275862068965517,0.5,0.06976744186046512,0.5294117647058824,0.5294117647058824,0.06666666666666667
per:parents,0.10335917312661498,0.09798270893371758,0.10267857142857142,1.0,0.12931034482758622,0.15841584158415842,0.20967741935483872,0.15343915343915343,0.14285714285714285,0.16326530612244897,0.16279069767441862,0.2698412698412698,0.09045226130653267,0.23958333333333334,0.30434782608695654,0.1111111111111111,0.21951219512195122,0.16666666666666666,0.16339869281045752,0.16556291390728478,0.24166666666666667,0.16428571428571428,0.17708333333333334,0.15625,0.1797752808988764,0.17777777777777778,0.3684210526315789,0.1568627450980392,0.15151515151515152,0.2564102564102564,0.1,0.24761904761904763,0.13157894736842105,0.06349206349206349,0.16393442622950818,0.10344827586206896,0.3333333333333333,0.023255813953488372,0.35294117647058826,0.29411764705882354,0.0
per:age,0.1111111111111111,0.06051873198847262,0.11607142857142858,0.18072289156626506,1.0,0.16831683168316833,0.11290322580645161,0.15873015873015872,0.1836734693877551,0.1836734693877551,0.23255813953488372,0.25396825396825395,0.10050251256281408,0.15625,0.17391304347826086,0.09523809523809523,0.43902439024390244,0.5,0.16339869281045752,0.17218543046357615,0.15,0.22857142857142856,0.14583333333333334,0.359375,0.24719101123595505,0.35555555555555557,0.3157894736842105,0.11764705882352941,0.23232323232323232,0.3333333333333333,0.45,0.18095238095238095,0.13815789473684212,0.23809523809523808,0.26229508196721313,0.2413793103448276,0.5,0.20930232558139536,0.4117647058823529,0.35294117647058826,0.4
per:countries_of_residence,0.2041343669250646,0.13256484149855907,0.21875,0.3855421686746988,0.29310344827586204,1.0,0.22580645161290322,0.23809523809523808,0.30612244897959184,0.3741496598639456,0.32558139534883723,0.36507936507936506,0.20854271356783918,0.3020833333333333,0.45652173913043476,0.14285714285714285,0.43902439024390244,0.375,0.24183006535947713,0.23841059602649006,0.275,0.35,0.25,0.34375,0.3146067415730337,0.3333333333333333,0.47368421052631576,0.19607843137254902,0.2727272727272727,0.5128205128205128,0.1,0.3238095238095238,0.23684210526315788,0.1111111111111111,0.3442622950819672,0.2413793103448276,0.6666666666666666,0.046511627906976744,0.5882352941176471,0.5294117647058824,0.06666666666666667
per:children,0.12403100775193798,0.10662824207492795,0.11160714285714286,0.3132530120481928,0.1206896551724138,0.13861386138613863,1.0,0.15343915343915343,0.16326530612244897,0.14965986394557823,0.15503875968992248,0.31746031746031744,0.09045226130653267,0.3333333333333333,0.2608695652173913,0.09523809523809523,0.21951219512195122,0.16666666666666666,0.16339869281045752,0.17218543046357615,0.24166666666666667,0.15,0.1875,0.1875,0.1797752808988764,0.1111111111111111,0.3157894736842105,0.23529411764705882,0.20202020202020202,0.20512820512820512,0.1,0.2761904761904762,0.17105263157894737,0.1111111111111111,0.18032786885245902,0.06896551724137931,0.3333333333333333,0.046511627906976744,0.17647058823529413,0.4117647058823529,0.0
org:alternate_names,0.1524547803617571,0.16714697406340057,0.22767857142857142,0.3493975903614458,0.25862068965517243,0.22277227722772278,0.23387096774193547,1.0,0.24489795918367346,0.3129251700680272,0.2868217054263566,0.4126984126984127,0.1457286432160804,0.3020833333333333,0.41304347826086957,0.19047619047619047,0.4634146341463415,0.25,0.2875816993464052,0.304635761589404,0.275,0.2642857142857143,0.3125,0.234375,0.3595505617977528,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.3838383838383838,0.3333333333333333,0.15,0.3904761904761905,0.27631578947368424,0.12698412698412698,0.26229508196721313,0.3103448275862069,0.3333333333333333,0.06976744186046512,0.4117647058823529,0.5294117647058824,0.2
per:charges,0.059431524547803614,0.0345821325648415,0.05803571428571429,0.08433734939759036,0.07758620689655173,0.07425742574257425,0.06451612903225806,0.06349206349206349,1.0,0.11564625850340136,0.08527131782945736,0.1111111111111111,0.04522613065326633,0.10416666666666667,0.17391304347826086,0.015873015873015872,0.17073170731707318,0.25,0.06535947712418301,0.0728476821192053,0.075,0.07857142857142857,0.07291666666666667,0.171875,0.12359550561797752,0.13333333333333333,0.10526315789473684,0.058823529411764705,0.10101010101010101,0.15384615384615385,0.1,0.10476190476190476,0.06578947368421052,0.047619047619047616,0.13114754098360656,0.05172413793103448,0.3333333333333333,0.023255813953488372,0.29411764705882354,0.35294117647058826,0.0
per:cities_of_residence,0.1834625322997416,0.13256484149855907,0.21875,0.2891566265060241,0.23275862068965517,0.2722772277227723,0.1774193548387097,0.24338624338624337,0.3469387755102041,1.0,0.31007751937984496,0.36507936507936506,0.18592964824120603,0.28125,0.4782608695652174,0.14285714285714285,0.4878048780487805,0.4583333333333333,0.23529411764705882,0.2185430463576159,0.24166666666666667,0.3357142857142857,0.25,0.40625,0.3258426966292135,0.37777777777777777,0.5263157894736842,0.23529411764705882,0.31313131313131315,0.46153846153846156,0.1,0.29523809523809524,0.2565789473684211,0.1746031746031746,0.39344262295081966,0.25862068965517243,0.8333333333333334,0.09302325581395349,0.6470588235294118,0.7058823529411765,0.2
per:origin,0.14728682170542637,0.09221902017291066,0.1875,0.25301204819277107,0.25862068965517243,0.2079207920792079,0.16129032258064516,0.19576719576719576,0.22448979591836735,0.272108843537415,1.0,0.2857142857142857,0.15326633165829145,0.22916666666666666,0.30434782608695654,0.1111111111111111,0.5609756097560976,0.375,0.20915032679738563,0.18543046357615894,0.2,0.29285714285714287,0.15625,0.265625,0.2696629213483146,0.4222222222222222,0.5263157894736842,0.13725490196078433,0.26262626262626265,0.46153846153846156,0.1,0.29523809523809524,0.20394736842105263,0.09523809523809523,0.3114754098360656,0.3448275862068966,0.5,0.046511627906976744,0.5294117647058824,0.5294117647058824,0.06666666666666667
org:founded_by,0.08010335917312661,0.10951008645533142,0.09821428571428571,0.20481927710843373,0.13793103448275862,0.11386138613861387,0.16129032258064516,0.13756613756613756,0.14285714285714285,0.1564625850340136,0.13953488372093023,1.0,0.0829145728643216,0.19791666666666666,0.34782608695652173,0.14285714285714285,0.21951219512195122,0.125,0.1830065359477124,0.15894039735099338,0.18333333333333332,0.12857142857142856,0.16666666666666666,0.171875,0.19101123595505617,0.17777777777777778,0.3684210526315789,0.23529411764705882,0.1919191919191919,0.2564102564102564,0.1,0.22857142857142856,0.16447368421052633,0.1111111111111111,0.18032786885245902,0.1206896551724138,0.3333333333333333,0.046511627906976744,0.17647058823529413,0.4117647058823529,0.06666666666666667
per:employee_of,0.3152454780361757,0.19020172910662825,0.34375,0.43373493975903615,0.3448275862068966,0.41089108910891087,0.2903225806451613,0.30687830687830686,0.3673469387755102,0.5034013605442177,0.4728682170542636,0.5238095238095238,1.0,0.3333333333333333,0.5217391304347826,0.19047619047619047,0.6341463414634146,0.5416666666666666,0.42483660130718953,0.304635761589404,0.36666666666666664,0.4928571428571429,0.3125,0.46875,0.4606741573033708,0.4888888888888889,0.6842105263157895,0.43137254901960786,0.35353535353535354,0.5897435897435898,0.15,0.4095238095238095,0.3092105263157895,0.12698412698412698,0.5409836065573771,0.39655172413793105,0.8333333333333334,0.046511627906976744,0.7647058823529411,0.5294117647058824,0.2
