tac_doc_id,tac_sentence_id,sentence,indexed_tokens,subj_start,subj_end,obj_start,obj_end,assessment,alt_subj_start,alt_subj_end,alt_obj_start,alt_obj_end
NYT_ENG_20100614.0031,098f60af8f9e39f2b449,"Growing up on Oahu in the 1970s, she hung out at the Scientology community church, or ""org ,"" in downtown Honolulu.","[(0, 'Growing'), (1, 'up'), (2, 'on'), (3, 'Oahu'), (4, 'in'), (5, 'the'), (6, '1970s'), (7, ','), (8, 'she'), (9, 'hung'), (10, 'out'), (11, 'at'), (12, 'the'), (13, 'Scientology'), (14, 'community'), (15, 'church'), (16, ','), (17, 'or'), (18, '``'), (19, 'org'), (20, ','), (21, ""''""), (22, 'in'), (23, 'downtown'), (24, 'Honolulu'), (25, '.')]",8,8,24,24,,,,,
NYT_ENG_20100730.0113,098f60af8fdaab69dcb8,"In October, she filed a complaint with the police in Rio saying he had kidnapped her and tried to threaten her into having an abortion.","[(0, 'In'), (1, 'October'), (2, ','), (3, 'she'), (4, 'filed'), (5, 'a'), (6, 'complaint'), (7, 'with'), (8, 'the'), (9, 'police'), (10, 'in'), (11, 'Rio'), (12, 'saying'), (13, 'he'), (14, 'had'), (15, 'kidnapped'), (16, 'her'), (17, 'and'), (18, 'tried'), (19, 'to'), (20, 'threaten'), (21, 'her'), (22, 'into'), (23, 'having'), (24, 'an'), (25, 'abortion'), (26, '.')]",3,3,11,11,,,,,
APW_ENG_20071105.1180.LDC2009T13,098f665fb9bdd6f6c988,"Prosecutors say Lo Piccolo, who is from Palermo, was vying to become Cosa Nostra's unchallenged top boss, pitted against another fugitive, Matteo Messina Denaro, a younger boss from the city of Trapani, in western Sicily.","[(0, 'Prosecutors'), (1, 'say'), (2, 'Lo'), (3, 'Piccolo'), (4, ','), (5, 'who'), (6, 'is'), (7, 'from'), (8, 'Palermo'), (9, ','), (10, 'was'), (11, 'vying'), (12, 'to'), (13, 'become'), (14, 'Cosa'), (15, 'Nostra'), (16, ""'s""), (17, 'unchallenged'), (18, 'top'), (19, 'boss'), (20, ','), (21, 'pitted'), (22, 'against'), (23, 'another'), (24, 'fugitive'), (25, ','), (26, 'Matteo'), (27, 'Messina'), (28, 'Denaro'), (29, ','), (30, 'a'), (31, 'younger'), (32, 'boss'), (33, 'from'), (34, 'the'), (35, 'city'), (36, 'of'), (37, 'Trapani'), (38, ','), (39, 'in'), (40, 'western'), (41, 'Sicily'), (42, '.')]",26,28,41,41,,,,,
APW_ENG_20090712.0251,098f60af8f5de445a4b2,"He was later flown back to Manila, where he was reunited with family and friends.","[(0, 'He'), (1, 'was'), (2, 'later'), (3, 'flown'), (4, 'back'), (5, 'to'), (6, 'Manila'), (7, ','), (8, 'where'), (9, 'he'), (10, 'was'), (11, 'reunited'), (12, 'with'), (13, 'family'), (14, 'and'), (15, 'friends'), (16, '.')]",9,9,6,6,,,,,
XIN_ENG_20100122.0301,098f60af8f180b366808,"Wen Qiang, former deputy director of Chongqing's public security department, was also accused of rape and being unable to explain the sources of his assets, according to a statement published on the website of the municipal procuratorate, wwwcqjcygovcn.","[(0, 'Wen'), (1, 'Qiang'), (2, ','), (3, 'former'), (4, 'deputy'), (5, 'director'), (6, 'of'), (7, 'Chongqing'), (8, ""'s""), (9, 'public'), (10, 'security'), (11, 'department'), (12, ','), (13, 'was'), (14, 'also'), (15, 'accused'), (16, 'of'), (17, 'rape'), (18, 'and'), (19, 'being'), (20, 'unable'), (21, 'to'), (22, 'explain'), (23, 'the'), (24, 'sources'), (25, 'of'), (26, 'his'), (27, 'assets'), (28, ','), (29, 'according'), (30, 'to'), (31, 'a'), (32, 'statement'), (33, 'published'), (34, 'on'), (35, 'the'), (36, 'website'), (37, 'of'), (38, 'the'), (39, 'municipal'), (40, 'procuratorate'), (41, ','), (42, 'wwwcqjcygovcn'), (43, '.')]",0,1,7,7,,,,,
XIN_ENG_20100513.0438,098f60af8f0d41b2421f,"The court also delivered verdicts on three former Chongqing police officers - Huang Daiqiang, Zhao Liming and Chen Tao - in the same hearing.","[(0, 'The'), (1, 'court'), (2, 'also'), (3, 'delivered'), (4, 'verdicts'), (5, 'on'), (6, 'three'), (7, 'former'), (8, 'Chongqing'), (9, 'police'), (10, 'officers'), (11, '--'), (12, 'Huang'), (13, 'Daiqiang'), (14, ','), (15, 'Zhao'), (16, 'Liming'), (17, 'and'), (18, 'Chen'), (19, 'Tao'), (20, '--'), (21, 'in'), (22, 'the'), (23, 'same'), (24, 'hearing'), (25, '.')]",18,19,8,8,,,,,
WPB_ENG_20101207.0007,098f60af8f3c1b9941e1,"There was just one problem: No mention was made of Alan P. Gross, an American from Potomac, Md., who passed the holiday in a Cuban military facility, where he has been imprisoned for a year without trial because he tried to help Cuba's Jews.","[(0, 'There'), (1, 'was'), (2, 'just'), (3, 'one'), (4, 'problem'), (5, ':'), (6, 'No'), (7, 'mention'), (8, 'was'), (9, 'made'), (10, 'of'), (11, 'Alan'), (12, 'P.'), (13, 'Gross'), (14, ','), (15, 'an'), (16, 'American'), (17, 'from'), (18, 'Potomac'), (19, ','), (20, 'Md.'), (21, ','), (22, 'who'), (23, 'passed'), (24, 'the'), (25, 'holiday'), (26, 'in'), (27, 'a'), (28, 'Cuban'), (29, 'military'), (30, 'facility'), (31, ','), (32, 'where'), (33, 'he'), (34, 'has'), (35, 'been'), (36, 'imprisoned'), (37, 'for'), (38, 'a'), (39, 'year'), (40, 'without'), (41, 'trial'), (42, 'because'), (43, 'he'), (44, 'tried'), (45, 'to'), (46, 'help'), (47, 'Cuba'), (48, ""'s""), (49, 'Jews'), (50, '.')]",11,13,18,18,,,,,
XIN_ENG_20090712.0038,098f60af8f6d732884d2,"Italian Red Cross worker Eugenio Vagni was freed in the restive southern Philippine province of Sulu early Sunday, almost three months after he and his two colleagues were abducted by local militants, the military said.","[(0, 'Italian'), (1, 'Red'), (2, 'Cross'), (3, 'worker'), (4, 'Eugenio'), (5, 'Vagni'), (6, 'was'), (7, 'freed'), (8, 'in'), (9, 'the'), (10, 'restive'), (11, 'southern'), (12, 'Philippine'), (13, 'province'), (14, 'of'), (15, 'Sulu'), (16, 'early'), (17, 'Sunday'), (18, ','), (19, 'almost'), (20, 'three'), (21, 'months'), (22, 'after'), (23, 'he'), (24, 'and'), (25, 'his'), (26, 'two'), (27, 'colleagues'), (28, 'were'), (29, 'abducted'), (30, 'by'), (31, 'local'), (32, 'militants'), (33, ','), (34, 'the'), (35, 'military'), (36, 'said'), (37, '.')]",4,5,15,15,,,,,
XIN_ENG_20090805.0280,098f60af8f97285301ad,"Local media reports said the gunman has been identified as George Sodini of Carnegie, Pennsylvania.","[(0, 'Local'), (1, 'media'), (2, 'reports'), (3, 'said'), (4, 'the'), (5, 'gunman'), (6, 'has'), (7, 'been'), (8, 'identified'), (9, 'as'), (10, 'George'), (11, 'Sodini'), (12, 'of'), (13, 'Carnegie'), (14, ','), (15, 'Pennsylvania'), (16, '.')]",10,11,13,13,,,,,
APW_ENG_20071220.0157.LDC2009T13,098f60af8fa9bcb24896,"The women have given lawyers and Republican Rep. Ted Poe accounts similar to the allegations of Jamie Leigh Jones of Conroe, Texas, who says she was raped in July 2005 by a co-worker who drugged her.","[(0, 'The'), (1, 'women'), (2, 'have'), (3, 'given'), (4, 'lawyers'), (5, 'and'), (6, 'Republican'), (7, 'Rep.'), (8, 'Ted'), (9, 'Poe'), (10, 'accounts'), (11, 'similar'), (12, 'to'), (13, 'the'), (14, 'allegations'), (15, 'of'), (16, 'Jamie'), (17, 'Leigh'), (18, 'Jones'), (19, 'of'), (20, 'Conroe'), (21, ','), (22, 'Texas'), (23, ','), (24, 'who'), (25, 'says'), (26, 'she'), (27, 'was'), (28, 'raped'), (29, 'in'), (30, 'July'), (31, '2005'), (32, 'by'), (33, 'a'), (34, 'co-worker'), (35, 'who'), (36, 'drugged'), (37, 'her'), (38, '.')]",16,18,20,20,,,,,
