,org:alternate_names,org:city_of_headquarters,org:country_of_headquarters,org:founded,org:founded_by,org:member_of,org:members,org:parents,org:political/religious_affiliation,org:stateorprovince_of_headquarters,org:subsidiaries,org:top_members/employees,org:website,per:age,per:alternate_names,per:cause_of_death,per:children,per:cities_of_residence,per:city_of_death,per:countries_of_residence,per:date_of_death,per:employee_of,per:origin,per:other_family,per:parents,per:schools_attended,per:siblings,per:spouse,per:stateorprovinces_of_residence,per:title
org:alternate_names,1.0,0.08373205741626795,0.09814323607427056,0.0,0.09137055837563451,0.05491329479768786,0.06683804627249357,0.0972972972972973,0.09863013698630137,0.12128712871287128,0.1298342541436464,0.07337526205450734,0.06801007556675064,0.24484536082474226,0.07673267326732673,0.014925373134328358,0.05670103092783505,0.0625,0.04295942720763723,0.06982543640897755,0.020594965675057208,0.08447488584474885,0.09466019417475728,0.09659090909090909,0.0594059405940594,0.011467889908256881,0.049479166666666664,0.09569377990430622,0.09178743961352658,0.16009280742459397
org:city_of_headquarters,0.08373205741626795,1.0,0.2403846153846154,0.0,0.1887905604719764,0.07643312101910828,0.05722070844686648,0.32517482517482516,0.036011080332409975,0.4105960264900662,0.12352941176470589,0.05664488017429194,0.025839793281653745,0.058004640371229696,0.1270718232044199,0.07932011331444759,0.08806818181818182,0.1771117166212534,0.09919571045576407,0.1518624641833811,0.01699029126213592,0.1341772151898734,0.09278350515463918,0.10461538461538461,0.08086253369272237,0.08093994778067885,0.08357348703170028,0.14933333333333335,0.17079889807162535,0.1825
org:country_of_headquarters,0.09814323607427056,0.2403846153846154,1.0,0.0,0.14106583072100312,0.12830188679245283,0.026470588235294117,0.2454212454212454,0.10197368421052631,0.2730263157894737,0.12828947368421054,0.046948356807511735,0.05604719764011799,0.08031088082901554,0.07580174927113703,0.052307692307692305,0.05521472392638037,0.20552147239263804,0.11077844311377245,0.22635135135135134,0.0,0.21005917159763313,0.14583333333333334,0.11888111888111888,0.08383233532934131,0.059322033898305086,0.07667731629392971,0.08287292817679558,0.2953020134228188,0.2579710144927536
org:founded,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040865384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.18562874251497005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
org:founded_by,0.09137055837563451,0.1887905604719764,0.14106583072100312,0.0,1.0,0.07876712328767123,0.1094224924012158,0.2150170648464164,0.02932551319648094,0.1384180790960452,0.20875420875420875,0.17258883248730963,0.059490084985835696,0.050970873786407765,0.12903225806451613,0.08814589665653495,0.10091743119266056,0.11748633879781421,0.09631728045325778,0.12462908011869436,0.0,0.1038961038961039,0.09562841530054644,0.1872791519434629,0.1317365269461078,0.03439153439153439,0.2089041095890411,0.17579250720461095,0.11977715877437325,0.14795918367346939
org:member_of,0.05491329479768786,0.07643312101910828,0.12830188679245283,0.0,0.07876712328767123,1.0,0.06382978723404255,0.09811320754716982,0.055350553505535055,0.10457516339869281,0.08888888888888889,0.02056555269922879,0.01644736842105263,0.06666666666666667,0.07023411371237458,0.12692307692307692,0.03508771929824561,0.1986062717770035,0.14590747330960854,0.18490566037735848,0.021604938271604937,0.17647058823529413,0.12751677852348994,0.038314176245210725,0.061016949152542375,0.07236842105263158,0.051094890510948905,0.0425531914893617,0.17832167832167833,0.12244897959183673
org:members,0.06683804627249357,0.05722070844686648,0.026470588235294117,0.0,0.1094224924012158,0.06382978723404255,1.0,0.10355987055016182,0.024390243902439025,0.051490514905149054,0.25547445255474455,0.18253968253968253,0.06528189910979229,0.045,0.04225352112676056,0.05864197530864197,0.12012987012987013,0.05630026809651475,0.024793388429752067,0.02824858757062147,0.026954177897574125,0.03015075376884422,0.021164021164021163,0.10689655172413794,0.1308411214953271,0.010752688172043012,0.16551724137931034,0.16272189349112426,0.023809523809523808,0.03571428571428571
org:parents,0.0972972972972973,0.32517482517482516,0.2454212454212454,0.0,0.2150170648464164,0.09811320754716982,0.10355987055016182,1.0,0.04807692307692308,0.26755852842809363,0.17132867132867133,0.07616707616707617,0.026392961876832845,0.04871794871794872,0.128125,0.06369426751592357,0.12374581939799331,0.15963855421686746,0.14150943396226415,0.16393442622950818,0.02197802197802198,0.15229885057471265,0.1023391812865497,0.16417910447761194,0.109717868338558,0.05157593123209169,0.1708185053380783,0.19254658385093168,0.14545454545454545,0.15135135135135136
org:political/religious_affiliation,0.09863013698630137,0.036011080332409975,0.10197368421052631,0.0,0.02932551319648094,0.055350553505535055,0.024390243902439025,0.04807692307692308,1.0,0.147239263803681,0.034482758620689655,0.0023148148148148147,0.051829268292682924,0.11911357340720222,0.025936599423631124,0.044444444444444446,0.012232415902140673,0.07344632768361582,0.05917159763313609,0.19047619047619047,0.0,0.21100917431192662,0.27835051546391754,0.013201320132013201,0.011594202898550725,0.025495750708215296,0.0,0.0215633423180593,0.16927899686520376,0.13172043010752688
org:stateorprovince_of_headquarters,0.12128712871287128,0.4105960264900662,0.2730263157894737,0.0,0.1384180790960452,0.10457516339869281,0.051490514905149054,0.26755852842809363,0.147239263803681,1.0,0.1072463768115942,0.047516198704103674,0.04199475065616798,0.09615384615384616,0.10569105691056911,0.06722689075630252,0.03513513513513514,0.16756756756756758,0.1111111111111111,0.18235294117647058,0.019464720194647202,0.16363636363636364,0.13672922252010725,0.0748502994011976,0.07219251336898395,0.050761421319796954,0.059154929577464786,0.06947890818858561,0.19718309859154928,0.15647921760391198
org:subsidiaries,0.1298342541436464,0.12352941176470589,0.12828947368421054,0.0,0.20875420875420875,0.08888888888888889,0.25547445255474455,0.17132867132867133,0.034482758620689655,0.1072463768115942,1.0,0.1918918918918919,0.05688622754491018,0.06459948320413436,0.07374631268436578,0.059748427672955975,0.1936619718309859,0.11494252873563218,0.06705539358600583,0.10493827160493827,0.013513513513513514,0.13165266106442577,0.10787172011661808,0.22093023255813954,0.21428571428571427,0.04519774011299435,0.20727272727272728,0.2364217252396166,0.11403508771929824,0.12598425196850394
org:top_members/employees,0.07337526205450734,0.05664488017429194,0.046948356807511735,0.0,0.17258883248730963,0.02056555269922879,0.18253968253968253,0.07616707616707617,0.0023148148148148147,0.047516198704103674,0.1918918918918919,1.0,0.034013605442176874,0.017786561264822136,0.05656108597285068,0.011494252873563218,0.1189873417721519,0.04246284501061571,0.01956521739130435,0.026726057906458798,0.02575107296137339,0.04536082474226804,0.027659574468085105,0.1358695652173913,0.13861386138613863,0.017204301075268817,0.11825192802056556,0.1864406779661017,0.025423728813559324,0.06187624750499002
